"","player","tm","game_id","pa.yds","pa.tds","pa.int","ru.yds","ru.tds","ru.lst","re.yds","re.tds","re.cat"
"1","D.Prescott","DAL","2021_06_DAL_NE",445,3,1,0,0,1,NA,NA,NA
"2","L.Jackson","BAL","2021_05_IND_BAL",442,4,0,15,0,1,NA,NA,NA
"3","D.Carr","LV","2021_01_BAL_LV",435,2,1,4,0,0,NA,NA,NA
"4","T.Brady","TB","2021_03_TB_LA",432,1,0,1,1,0,NA,NA,NA
"5","J.Burrow","CIN","2021_07_CIN_BAL",416,3,1,0,0,0,NA,NA,NA
"6","T.Brady","TB","2021_05_MIA_TB",411,5,0,NA,NA,NA,NA,NA,NA
"7","D.Prescott","DAL","2021_01_DAL_TB",403,3,1,3,0,0,NA,NA,NA
"8","C.Wentz","IND","2021_05_IND_BAL",402,2,0,1,0,0,NA,NA,NA
"9","D.Jones","NYG","2021_04_NYG_NO",402,2,1,2,0,0,NA,NA,NA
"10","K.Murray","ARI","2021_02_MIN_ARI",400,4,2,4,0,0,NA,NA,NA
"11","J.Herbert","LAC","2021_05_CLE_LAC",398,4,0,NA,NA,NA,NA,NA,NA
"12","P.Mahomes","KC","2021_06_KC_WAS",397,2,2,NA,NA,NA,NA,NA,NA
"13","J.Hurts","PHI","2021_04_KC_PHI",387,2,0,24,0,0,NA,NA,NA
"14","D.Carr","LV","2021_03_MIA_LV",386,3,1,NA,NA,NA,NA,NA,NA
"15","D.Carr","LV","2021_02_LV_PIT",382,2,0,4,0,0,NA,NA,NA
"16","T.Brady","TB","2021_01_DAL_TB",379,4,2,NA,NA,NA,NA,NA,NA
"17","K.Cousins","MIN","2021_06_MIN_CAR",373,3,0,0,0,0,NA,NA,NA
"18","M.Stafford","LA","2021_05_LA_SEA",365,1,1,NA,NA,NA,NA,NA,NA
"19","J.Allen","BUF","2021_03_WAS_BUF",358,4,0,3,0,0,NA,NA,NA
"20","J.Allen","BUF","2021_06_BUF_TEN",353,3,1,12,0,0,NA,NA,NA
"21","K.Cousins","MIN","2021_01_MIN_CIN",351,2,0,NA,NA,NA,NA,NA,NA
"22","J.Burrow","CIN","2021_04_JAX_CIN",348,2,0,4,0,0,NA,NA,NA
"23","R.Tannehill","TEN","2021_02_TEN_SEA",347,0,0,2,0,0,NA,NA,NA
"24","Aa.Rodgers","GB","2021_05_GB_CIN",344,2,1,NA,NA,NA,NA,NA,NA
"25","M.Stafford","LA","2021_03_TB_LA",343,4,0,NA,NA,NA,NA,NA,NA
"26","P.Mahomes","KC","2021_02_KC_BAL",343,3,1,NA,NA,NA,NA,NA,NA
"27","R.Wilson","SEA","2021_02_TEN_SEA",343,2,0,-3,0,0,NA,NA,NA
