"","player","tm","game_id","wpa","epa","id","pa.yds","pa.tds","pa.cmp","pa.att","pa.cmp_pct","pa.cpo","pa.sck","pa.int","pa.1st","pa.air","pa.dpb","pa.prob_dpb","pa.dpb_oe","pa.frc","pa.lst","ru.yds","ru.tds","ru.att","ru.1st","ru.20z","ru.10z","ru.frc","ru.lst","re.yds","re.tds","re.cat","re.tgt","re.cat_pct","re.cpo","re.1st","re.air","re.yac","re.xyc","re.frc","re.lst","tm.tot.yds","tm.tot.tds","tm.rushes","tm.target","tm.pyards","tm.ayards","tm.ryards","tm.20zone","tm.10zone"
"1","D.Prescott","DAL","2021_06_DAL_NE",-0.121,22.49,"D.Prescott2021_06_DAL_NE",445,3,36,52,0.692,10.07,0,1,25,458,52,0.703,29.673,0,0,0,0,2,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,567,3,31,36,445,458,122,9,4
"2","L.Jackson","BAL","2021_05_IND_BAL",1.049,32.47,"L.Jackson2021_05_IND_BAL",442,4,37,47,0.787,17.77,2,0,23,308,47,0.719,28.09,0,0,15,0,8,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,527,4,26,37,442,308,86,7,6
"3","D.Carr","LV","2021_01_BAL_LV",-0.601,9.41,"D.Carr2021_01_BAL_LV",435,2,34,57,0.596,-3.39,3,1,17,550,57,0.735,26.452,0,0,4,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,4,21,34,435,550,82,4,2
"4","T.Brady","TB","2021_03_TB_LA",0.329,13.16,"T.Brady2021_03_TB_LA",432,1,41,58,0.706,3.77,3,0,24,382,58,0.758,24.133,2,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,3,13,41,432,382,35,3,3
"5","J.Burrow","CIN","2021_07_CIN_BAL",0.109,19.69,"J.Burrow2021_07_CIN_BAL",416,3,23,38,0.605,4,1,1,16,394,38,0.673,32.632,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,5,24,23,416,394,111,0,0
"6","T.Brady","TB","2021_05_MIA_TB",0.041,28.32,"T.Brady2021_05_MIA_TB",411,5,30,42,0.714,13.52,2,0,24,421,42,0.593,40.612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,6,25,33,452,449,121,7,2
"7","D.Prescott","DAL","2021_01_DAL_TB",0.24,14.2,"D.Prescott2021_01_DAL_TB",403,3,42,59,0.711,6.46,1,1,21,382,59,0.603,39.615,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451,3,18,42,403,382,60,3,2
"8","C.Wentz","IND","2021_05_IND_BAL",0.137,16.51,"C.Wentz2021_05_IND_BAL",402,2,25,38,0.657,4.16,2,0,17,204,38,0.682,31.745,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,3,26,25,402,204,123,6,1
"9","D.Jones","NYG","2021_04_NYG_NO",-1.286,16.37,"D.Jones2021_04_NYG_NO",402,2,28,40,0.7,8.72,0,1,17,375,40,0.718,28.194,2,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487,3,21,28,402,375,83,5,4
"10","K.Murray","ARI","2021_02_MIN_ARI",0.156,4.57,"K.Murray2021_02_MIN_ARI",400,4,29,39,0.743,14.58,3,2,16,296,39,0.661,33.801,1,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474,5,21,29,400,296,103,3,1
"11","J.Herbert","LAC","2021_05_CLE_LAC",0.024,17.25,"J.Herbert2021_05_CLE_LAC",398,4,26,46,0.565,-6.02,2,0,14,410,46,0.741,25.833,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,7,24,26,398,410,112,8,5
"12","P.Mahomes","KC","2021_06_KC_WAS",0.277,12.33,"P.Mahomes2021_06_KC_WAS",397,2,32,50,0.64,5.13,3,2,21,350,50,0.605,39.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,4,28,32,397,350,109,6,3
"13","J.Hurts","PHI","2021_04_KC_PHI",0.017,13.82,"J.Hurts2021_04_KC_PHI",387,2,32,51,0.627,8.67,3,0,19,344,51,0.733,26.686,2,0,24,0,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,3,19,32,387,344,103,6,3
"14","D.Carr","LV","2021_03_MIA_LV",0.267,6.62,"D.Carr2021_03_MIA_LV",386,3,26,46,0.565,-1.76,3,1,19,399,46,0.719,28.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,4,35,26,386,399,140,9,4
"15","D.Carr","LV","2021_02_LV_PIT",0.084,20.62,"D.Carr2021_02_LV_PIT",382,2,28,39,0.717,9.81,2,0,17,303,39,0.599,40.096,1,0,4,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,2,25,28,382,303,52,5,2
"16","T.Brady","TB","2021_01_DAL_TB",0.011,14,"T.Brady2021_01_DAL_TB",379,4,32,50,0.64,3.23,0,2,22,446,50,0.673,32.633,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,4,14,32,379,446,52,4,1
"17","K.Cousins","MIN","2021_06_MIN_CAR",-0.305,13.55,"K.Cousins2021_06_MIN_CAR",373,3,33,48,0.687,9.55,0,0,16,373,48,0.647,35.241,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571,5,37,33,373,373,198,6,2
"18","M.Stafford","LA","2021_05_LA_SEA",0.311,14.05,"M.Stafford2021_05_LA_SEA",365,1,25,38,0.657,9.66,1,1,16,469,38,0.576,42.342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,3,29,25,365,469,118,6,2
"19","J.Allen","BUF","2021_03_WAS_BUF",0.094,17.33,"J.Allen2021_03_WAS_BUF",358,4,32,44,0.727,13.86,0,0,20,406,44,0.617,38.243,0,0,3,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,5,33,33,359,407,122,10,7
"20","J.Allen","BUF","2021_06_BUF_TEN",0.612,13.95,"J.Allen2021_06_BUF_TEN",353,3,35,50,0.7,13.91,3,1,23,385,50,0.659,34.008,1,0,12,0,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,3,23,35,353,385,82,6,4
"21","K.Cousins","MIN","2021_01_MIN_CIN",0.302,10.4,"K.Cousins2021_01_MIN_CIN",351,2,36,51,0.705,6.79,3,0,15,297,51,0.766,23.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,3,22,37,362,308,67,2,1
"22","J.Burrow","CIN","2021_04_JAX_CIN",0.035,17.58,"J.Burrow2021_04_JAX_CIN",348,2,25,33,0.757,10.65,1,0,16,235,33,0.698,30.192,0,0,4,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,3,22,25,348,235,78,3,3
"23","R.Tannehill","TEN","2021_02_TEN_SEA",0.181,7.43,"R.Tannehill2021_02_TEN_SEA",347,0,27,43,0.627,5.37,3,0,17,402,43,0.749,25.082,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532,3,40,27,347,402,212,9,5
"24","Aa.Rodgers","GB","2021_05_GB_CIN",0.578,8.68,"Aa.Rodgers2021_05_GB_CIN",344,2,27,40,0.675,15.21,2,1,16,331,40,0.691,30.817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466,2,22,27,344,331,133,6,2
"25","M.Stafford","LA","2021_03_TB_LA",0.132,17.66,"M.Stafford2021_03_TB_LA",343,4,27,39,0.692,1,1,0,16,359,39,0.651,34.877,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,4,24,27,343,359,76,3,1
"26","P.Mahomes","KC","2021_02_KC_BAL",0.104,17.19,"P.Mahomes2021_02_KC_BAL",343,3,24,31,0.774,10.41,0,1,18,245,31,0.611,38.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,4,18,24,343,245,62,2,1
"27","R.Wilson","SEA","2021_02_TEN_SEA",-0.229,8.27,"R.Wilson2021_02_TEN_SEA",343,2,22,34,0.647,6.51,3,0,10,310,34,0.745,25.427,0,0,-3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,4,18,22,343,310,77,5,3
"28","M.Ryan","ATL","2021_05_NYJ_ATL",0.113,19.64,"M.Ryan2021_05_NYJ_ATL",342,2,33,45,0.733,6.35,0,0,19,336,45,0.661,33.83,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,3,29,33,342,354,108,4,2
"29","D.Carr","LV","2021_06_LV_DEN",0.064,16.49,"D.Carr2021_06_LV_DEN",341,2,18,29,0.62,9.72,2,0,11,320,29,0.689,31.052,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,4,23,18,341,320,86,5,2
"30","J.Goff","DET","2021_01_SF_DET",0.627,-6.84,"J.Goff2021_01_SF_DET",338,4,38,62,0.612,-3.69,3,1,19,351,62,0.796,20.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434,5,24,38,338,351,116,3,2
"31","J.Herbert","LAC","2021_02_DAL_LAC",0.125,3.81,"J.Herbert2021_02_DAL_LAC",338,1,31,43,0.72,7.44,2,2,13,254,43,0.717,28.287,0,0,4,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,1,20,31,338,254,95,3,1
"32","J.Herbert","LAC","2021_01_LAC_WAS",0.347,10.38,"J.Herbert2021_01_LAC_WAS",337,1,31,49,0.632,3.57,2,1,20,364,49,0.649,35.037,1,1,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,2,29,31,337,364,90,10,5
"33","P.Mahomes","KC","2021_01_CLE_KC",0.067,19.39,"P.Mahomes2021_01_CLE_KC",337,3,27,39,0.692,15.94,2,0,17,335,39,0.669,33.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,4,23,27,337,335,73,6,2
"34","M.Ryan","ATL","2021_07_ATL_MIA",0.206,11.17,"M.Ryan2021_07_ATL_MIA",336,2,25,41,0.609,-3.27,1,1,16,368,41,0.7,29.932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,3,22,25,336,368,72,5,1
"35","T.Heinicke","WAS","2021_02_NYG_WAS",0.274,0.78,"T.Heinicke2021_02_NYG_WAS",336,2,34,46,0.739,7.75,1,1,13,344,46,0.706,29.376,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,3,22,34,336,344,87,2,2
"36","M.Stafford","LA","2021_07_DET_LA",0.232,15.09,"M.Stafford2021_07_DET_LA",334,3,28,43,0.651,0.69,1,0,17,383,43,0.647,35.263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,3,19,28,334,383,47,1,0
"37","T.Bridgewater","DEN","2021_06_LV_DEN",0.099,3.86,"T.Bridgewater2021_06_LV_DEN",334,3,35,54,0.648,10.12,5,3,18,491,54,0.811,18.809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,3,23,35,334,491,112,2,0
"38","T.Lawrence","JAX","2021_01_JAX_HOU",0.001,-3.83,"T.Lawrence2021_01_JAX_HOU",332,3,28,52,0.538,-12.44,1,3,13,412,52,0.8,19.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,3,16,28,332,412,76,0,0
"39","T.Tagovailoa","MIA","2021_06_MIA_JAX",0.005,8.48,"T.Tagovailoa2021_06_MIA_JAX",329,2,33,46,0.717,6.25,0,1,17,382,46,0.677,32.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,2,20,34,354,405,77,4,1
"40","T.Bridgewater","DEN","2021_02_DEN_JAX",-0.703,8.95,"T.Bridgewater2021_02_DEN_JAX",328,2,26,37,0.702,14.66,3,0,11,389,37,0.645,35.487,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,2,30,26,328,389,96,7,1
"41","J.Hurts","PHI","2021_03_PHI_DAL",0,-6.22,"J.Hurts2021_03_PHI_DAL",326,3,25,41,0.609,-3.82,2,2,11,277,41,0.706,29.349,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,3,12,25,326,277,64,1,0
"42","D.Carr","LV","2021_07_PHI_LV",-0.635,18.34,"D.Carr2021_07_PHI_LV",323,2,31,34,0.911,17.77,0,1,16,193,34,0.588,41.173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,4,29,31,323,193,119,4,3
"43","K.Cousins","MIN","2021_03_SEA_MIN",0.191,19.21,"K.Cousins2021_03_SEA_MIN",323,3,30,39,0.769,6.37,1,0,20,189,39,0.678,32.186,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453,3,34,30,323,189,140,6,3
"44","B.Mayfield","CLE","2021_01_CLE_KC",-0.663,10.77,"B.Mayfield2021_01_CLE_KC",321,0,21,30,0.7,14.24,2,1,14,284,30,0.713,28.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,4,27,21,321,284,153,11,8
"45","M.Stafford","LA","2021_01_CHI_LA",0.128,18.84,"M.Stafford2021_01_CHI_LA",321,3,20,27,0.74,8.26,1,0,13,228,27,0.563,43.695,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,4,23,20,321,228,74,4,3
